model,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
PlainDNN,10,0.6960667461263409,0.7537465760801679,0.5133394772341761,0.47922449295043784,0.633121443559803,0.633121443559803
LR,10,0.6686531585220501,0.7574310779641289,0.44956763386272963,0.42814034854356997,0.5953555294199749,0.5953555294199749
RF,10,0.635280095351609,0.7246788517079134,0.4552327848466992,0.4328578679800456,0.6269645301855694,0.6269645301855694
SVM,10,0.7056019070321812,0.754051869043112,0.48452966602884723,0.45015621054507826,0.6394678741031289,0.6394678741031289
XGBoost,10,0.6042908224076281,0.6913900940317982,0.4080832402397175,0.4034389065620611,0.6011669331538051,0.6011669331538051
DCM-DNN,11,0.594047619047619,0.7064530146586483,0.4635518022152867,0.44684562971282255,0.598502038338104,0.598502038338104
PlainDNN,11,0.6440476190476191,0.6890074826370313,0.4276034082241176,0.40697195298965205,0.59367941712204,0.59367941712204
LR,11,0.6440476190476191,0.7312652431432136,0.4895043949827224,0.46035985326255613,0.632032266458496,0.632032266458496
RF,11,0.5916666666666667,0.6996222514644774,0.41926659181356407,0.4127505516541234,0.5885254575418509,0.5885254575418509
SVM,11,0.6297619047619047,0.7124549070729179,0.4540282157005417,0.4328256849019099,0.5992514528580103,0.5992514528580103
XGBoost,11,0.5535714285714286,0.6802172817231873,0.3977335951226441,0.4035147547638984,0.5823115621476277,0.5823115621476277
DCM-DNN,12,0.6833333333333333,0.741973015815494,0.4526283468950689,0.43249559082892414,0.5530228120392054,0.5530228120392054
PlainDNN,12,0.6797619047619048,0.7377317509488256,0.44718566457079884,0.42636320185662285,0.6034591031312342,0.6034591031312342
LR,12,0.655952380952381,0.7313889035166529,0.4273057018346824,0.41656365860508426,0.5195160031225605,0.5195160031225605
RF,12,0.675,0.7304463169561674,0.476068636832478,0.4498953430706844,0.6173527625986642,0.6173527625986642
SVM,12,0.625,0.7296736646328997,0.44392905092125434,0.4305565473387611,0.5725422846734322,0.5725422846734322
XGBoost,12,0.611904761904762,0.6633122136033506,0.40768337640038727,0.4035438295508726,0.540237661549137,0.540237661549137
DCM-DNN,13,0.6916666666666667,0.7314439511440026,0.4552323967133009,0.4330830758442355,0.6172452077370111,0.6172452077370111
PlainDNN,13,0.7202380952380952,0.7231861943312031,0.4483621791817547,0.42557734782875745,0.6016011796339665,0.6016011796339665
LR,13,0.6738095238095239,0.754710845584285,0.4555625740830062,0.437006061214922,0.5807919160378177,0.5807919160378177
RF,13,0.6440476190476191,0.741069067434054,0.46222456046776245,0.44377447835613587,0.5982097319802238,0.5982097319802238
SVM,13,0.6880952380952381,0.7445850424967255,0.48551336146272855,0.45596632720187075,0.6383771359181195,0.6383771359181195
XGBoost,13,0.6059523809523809,0.7168608012239632,0.4288634810402941,0.42467208750786506,0.5829716367421285,0.5829716367421285
DCM-DNN,14,0.7559523809523809,0.7173576457879597,0.5125302965497577,0.4798341337685405,0.6039968053471665,0.6039968053471665
PlainDNN,14,0.6904761904761905,0.7153172741698796,0.464140340800044,0.4409116016258874,0.6116189988795453,0.6116189988795453
LR,14,0.6761904761904762,0.7294674135136633,0.46430067453441876,0.43982550956493754,0.5878548914244507,0.5878548914244507
RF,14,0.5880952380952381,0.7181510453521667,0.4257865153573617,0.4257412088859221,0.5815974039568722,0.5815974039568722
SVM,14,0.719047619047619,0.6883399575150561,0.49049011252401087,0.46086652583591925,0.5981464034955085,0.5981464034955085
XGBoost,14,0.5726190476190476,0.6991984665380956,0.4304485479307905,0.4307123765224079,0.5798643823348105,0.5798643823348105
DCM-DNN,15,0.6591179976162098,0.7430616843872596,0.4995868920287061,0.4700006320051077,0.6263036147150162,0.6263036147150162
PlainDNN,15,0.6412395709177592,0.7598963551543113,0.47262833008447047,0.4482631028873533,0.6663451032389647,0.6663451032389647
LR,15,0.6221692491060786,0.749354381227881,0.4383593042930783,0.42741178001124663,0.5844244254106262,0.5844244254106262
RF,15,0.6185935637663885,0.7331095418114032,0.44468723550961586,0.4276947008807846,0.629220947599529,0.629220947599529
SVM,15,0.6555423122765197,0.7463035832298018,0.47225959788533833,0.44329872034744383,0.6688669815251549,0.6688669815251549
XGBoost,15,0.601907032181168,0.7182582457374257,0.42857249616533616,0.4235280830059573,0.5705855670018453,0.5705855670018453
