scheme,fold,model,nacc_acc,nacc_auc,nacc_f1,nacc_n,ppmi_acc,ppmi_auc,ppmi_f1,ppmi_n
B,3,LR,0.9583333333333334,0.99375,0.9693251533742331,120,0.8490566037735849,0.9436274509803921,0.8787878787878788,53
B,3,RF,0.9583333333333334,0.99625,0.9681528662420382,120,0.7924528301886793,0.8406862745098039,0.8405797101449275,53
B,3,XGBoost,0.975,0.9990625,0.9811320754716981,120,0.8113207547169812,0.8570261437908497,0.8529411764705882,53
B,4,DCM-DNN,0.975,0.9990625,0.9811320754716981,120,0.8867924528301887,0.9523809523809523,0.9142857142857143,53
B,4,PlainDNN,0.975,0.999375,0.9811320754716981,120,0.9056603773584906,0.9619047619047619,0.9295774647887324,53
B,4,LR,1.0,1.0,1.0,120,0.8679245283018868,0.9507936507936509,0.8985507246376812,53
B,4,RF,0.9333333333333333,0.9890625,0.9493670886075949,120,0.8679245283018868,0.8793650793650795,0.9014084507042254,53
B,4,XGBoost,0.95,0.99375,0.9625,120,0.7924528301886793,0.8301587301587302,0.8450704225352113,53
C,0,DCM-DNN,0.9734513274336283,0.9993293091884642,0.9790209790209791,113,0.8524590163934426,0.9173611111111111,0.8941176470588236,61
C,0,PlainDNN,0.9823008849557522,1.0,0.9857142857142858,113,0.8524590163934426,0.9215277777777777,0.8941176470588236,61
C,0,LR,0.9911504424778761,1.0,0.9929078014184397,113,0.8032786885245902,0.9243055555555556,0.8536585365853658,61
C,0,RF,0.9469026548672567,0.9939637826961771,0.9577464788732394,113,0.8360655737704918,0.8729166666666667,0.8809523809523809,61
C,0,XGBoost,0.9734513274336283,0.9979879275653922,0.9790209790209791,113,0.7868852459016393,0.8590277777777777,0.8395061728395061,61
C,1,DCM-DNN,0.9844961240310077,0.9997228381374724,0.9886363636363636,129,0.7777777777777778,0.7930672268907563,0.8275862068965517,45
C,1,PlainDNN,0.9844961240310077,0.9988913525498891,0.9887640449438202,129,0.7555555555555555,0.7993697478991597,0.8070175438596491,45
C,1,LR,1.0,1.0,1.0,129,0.7555555555555555,0.8182773109243697,0.8,45
C,1,RF,0.9689922480620154,0.9975055432372505,0.9775280898876404,129,0.7111111111111111,0.740546218487395,0.7719298245614035,45
C,1,XGBoost,0.9767441860465116,0.9986141906873613,0.9830508474576272,129,0.7111111111111111,0.7468487394957983,0.7868852459016393,45
C,2,DCM-DNN,0.9565217391304348,0.9941902687000727,0.9681528662420382,115,0.7413793103448276,0.9037267080745341,0.8148148148148148,58
C,2,PlainDNN,0.9478260869565217,0.9898329702251271,0.9615384615384616,115,0.7413793103448276,0.9049689440993789,0.8148148148148148,58
C,2,LR,0.9652173913043478,1.0,0.9746835443037974,115,0.8103448275862069,0.9074534161490684,0.8571428571428571,58
C,2,RF,0.9565217391304348,0.9862018881626725,0.968944099378882,115,0.7758620689655172,0.8540372670807453,0.8311688311688312,58
C,2,XGBoost,0.9391304347826087,0.9916485112563543,0.9559748427672956,115,0.7586206896551724,0.8490683229813664,0.8108108108108109,58
C,3,DCM-DNN,0.975,0.9970693585151417,0.9820359281437125,120,0.7547169811320755,0.9092261904761904,0.8115942028985508,53
C,3,PlainDNN,0.975,0.9973949853467926,0.9820359281437125,120,0.7735849056603774,0.9107142857142858,0.8285714285714286,53
C,3,LR,0.9916666666666667,0.9996743731683492,0.9940119760479041,120,0.7735849056603774,0.8898809523809523,0.8285714285714286,53
C,3,RF,0.95,0.9943015304461088,0.9629629629629629,120,0.7735849056603774,0.8392857142857143,0.8235294117647058,53
C,3,XGBoost,0.9666666666666667,0.9980462390100945,0.9753086419753086,120,0.7169811320754716,0.8407738095238095,0.7887323943661971,53
C,4,DCM-DNN,0.967479674796748,0.9963297571993224,0.9736842105263158,123,0.88,0.8771929824561404,0.9210526315789473,50
C,4,PlainDNN,0.967479674796748,0.9985883681535855,0.9736842105263158,123,0.86,0.8793859649122807,0.9041095890410958,50
C,4,LR,0.967479674796748,0.9971767363071711,0.9743589743589743,123,0.84,0.9035087719298245,0.8888888888888888,50
C,4,RF,0.967479674796748,0.9929418407679278,0.9736842105263158,123,0.88,0.8585526315789473,0.918918918918919,50
C,4,XGBoost,0.943089430894309,0.9923771880293619,0.954248366013072,123,0.82,0.8399122807017544,0.8767123287671232,50
