dataset,feature_dim,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro
NACC,24d,LR,3,0.9833333333333333,0.9833333333333334,0.9833229101521784,0.99865
NACC,24d,RF,3,0.9566666666666667,0.9566666666666667,0.9568959766520742,0.9966416666666666
NACC,24d,XGBoost,3,0.9633333333333334,0.9633333333333334,0.9635350157089287,0.99765
NACC,24d,DCM-DNN,4,0.9533333333333334,0.9533333333333333,0.9534376249296018,0.9961333333333333
NACC,24d,PlainDNN,4,0.9433333333333334,0.9433333333333334,0.9436391815261015,0.9961666666666668
NACC,24d,LR,4,0.9933333333333333,0.9933333333333333,0.9933162470475904,0.9997166666666667
NACC,24d,RF,4,0.9233333333333333,0.9233333333333333,0.9222880307457423,0.991375
NACC,24d,XGBoost,4,0.94,0.94,0.9398692692728754,0.9952
PPMI,20d,DCM-DNN,0,0.5538461538461539,0.5548340548340548,0.507800242476109,0.7655961609449982
PPMI,20d,PlainDNN,0,0.5846153846153846,0.5865800865800866,0.540320567679361,0.7180777878452297
PPMI,20d,LR,0,0.5076923076923077,0.5108225108225107,0.4970844135685939,0.7065757240175845
PPMI,20d,RF,0,0.5538461538461539,0.5562770562770564,0.5576259489302968,0.7633142051746703
PPMI,20d,XGBoost,0,0.5692307692307692,0.5707070707070706,0.5714133201938081,0.758825799523474
PPMI,20d,DCM-DNN,1,0.5692307692307692,0.5699855699855699,0.5652831553593595,0.7462666532433975
PPMI,20d,PlainDNN,1,0.5230769230769231,0.5223665223665224,0.5237154150197628,0.7233464210208397
PPMI,20d,LR,1,0.5692307692307692,0.5692640692640693,0.5689064558629776,0.7504110876203901
PPMI,20d,RF,1,0.5384615384615384,0.5367965367965368,0.5323116599712344,0.7195082049733212
PPMI,20d,XGBoost,1,0.46153846153846156,0.4588744588744588,0.45312701482914247,0.7122134970972179
PPMI,20d,DCM-DNN,2,0.6153846153846154,0.6197691197691197,0.5860802879441475,0.7771443672606463
PPMI,20d,PlainDNN,2,0.6,0.6031746031746031,0.5907557354925775,0.767546729756032
PPMI,20d,LR,2,0.6461538461538462,0.6486291486291487,0.6456785490931832,0.775005033725964
PPMI,20d,RF,2,0.5846153846153846,0.5858585858585859,0.5738720538720539,0.7316227054599148
PPMI,20d,XGBoost,2,0.5846153846153846,0.5873015873015873,0.5720175989943432,0.7450795328702305
PPMI,20d,DCM-DNN,3,0.5384615384615384,0.5353535353535354,0.531508213041314,0.7642034967616363
PPMI,20d,PlainDNN,3,0.6,0.5974025974025974,0.590422322775264,0.7454696466324373
PPMI,20d,LR,3,0.5384615384615384,0.5375180375180375,0.5388888888888889,0.7310228531158763
