dataset,train_size_per_class,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
NACC,2000,4,PlainDNN,0.9883333333333333,0.9883095844201145,0.9996593750000001,0.9883333333333334,0.9966666666666667,0.9974968710888611,0.99998125,0.996875
NACC,2000,4,LR,0.9991666666666666,0.9991666653645813,1.0,0.9991666666666666,0.9991666666666666,0.9993746091307066,0.9999999999999999,0.999375
NACC,2000,4,RF,0.9533333333333334,0.9531608741639185,0.9959020833333333,0.9533333333333333,0.9733333333333334,0.9797724399494311,0.998221875,0.975625
NACC,2000,4,XGBoost,0.9766666666666667,0.976610918168315,0.9987895833333335,0.9766666666666666,0.9866666666666667,0.9899623588456713,0.999309375,0.986875
PPMI,89,0,DCM-DNN,0.6666666666666666,0.6685971685971687,0.7973251028806585,0.6666666666666666,0.7592592592592593,0.8169014084507042,0.8279320987654322,0.7361111111111112
PPMI,89,0,PlainDNN,0.6851851851851852,0.684407096171802,0.830761316872428,0.6851851851851852,0.7592592592592593,0.8115942028985508,0.8557098765432098,0.75
PPMI,89,0,LR,0.5740740740740741,0.576948376948377,0.7875514403292181,0.5740740740740741,0.7037037037037037,0.7777777777777778,0.8325617283950616,0.6666666666666667
PPMI,89,0,RF,0.6481481481481481,0.6422428620571036,0.8441358024691358,0.6481481481481483,0.7777777777777778,0.8333333333333334,0.861111111111111,0.75
PPMI,89,0,XGBoost,0.6296296296296297,0.6322196322196322,0.8112139917695474,0.6296296296296297,0.7592592592592593,0.8266666666666667,0.8603395061728395,0.7083333333333334
PPMI,89,1,DCM-DNN,0.6481481481481481,0.6066682066682066,0.7803497942386831,0.648148148148148,0.7962962962962963,0.8253968253968254,0.8572530864197531,0.8333333333333333
PPMI,89,1,PlainDNN,0.7037037037037037,0.6635658914728683,0.8137860082304526,0.7037037037037037,0.8333333333333334,0.8615384615384616,0.8726851851851852,0.8611111111111112
PPMI,89,1,LR,0.6111111111111112,0.5625690099374311,0.8317901234567903,0.6111111111111112,0.8148148148148148,0.84375,0.9066358024691358,0.8472222222222222
PPMI,89,1,RF,0.6111111111111112,0.6083369083369083,0.7950102880658436,0.6111111111111112,0.7407407407407407,0.8055555555555556,0.8263888888888888,0.7083333333333334
PPMI,89,1,XGBoost,0.5925925925925926,0.5877053524112347,0.773148148148148,0.5925925925925926,0.7592592592592593,0.8169014084507042,0.8310185185185186,0.7361111111111112
PPMI,89,2,DCM-DNN,0.660377358490566,0.644672531769306,0.8187675070028012,0.6601307189542484,0.8113207547169812,0.8387096774193549,0.8587301587301588,0.8436507936507937
PPMI,89,2,PlainDNN,0.6226415094339622,0.6085946573751452,0.7927482103952692,0.6252723311546841,0.7547169811320755,0.8,0.846031746031746,0.7603174603174603
PPMI,89,2,LR,0.5849056603773585,0.5765023506958991,0.7991907874260815,0.5882352941176471,0.6981132075471698,0.75,0.834920634920635,0.7039682539682539
PPMI,89,2,RF,0.6037735849056604,0.5990083764474009,0.7579520697167755,0.6067538126361656,0.7169811320754716,0.7692307692307693,0.7928571428571428,0.7182539682539683
PPMI,89,2,XGBoost,0.5849056603773585,0.579056170068342,0.7427948957360723,0.5882352941176471,0.6792452830188679,0.7384615384615385,0.7476190476190476,0.6761904761904762
PPMI,89,3,DCM-DNN,0.7169811320754716,0.697856477166822,0.8450046685340803,0.7113289760348583,0.8679245283018868,0.8985507246376812,0.9444444444444444,0.8595238095238096
PPMI,89,3,PlainDNN,0.6792452830188679,0.6738968633705475,0.8785714285714287,0.6753812636165577,0.8679245283018868,0.9014084507042254,0.9412698412698413,0.846031746031746
PPMI,89,3,LR,0.7358490566037735,0.7337461300309597,0.8734049175225646,0.7331154684095861,0.8867924528301887,0.9166666666666666,0.9349206349206349,0.8603174603174604
PPMI,89,3,RF,0.6226415094339622,0.613235294117647,0.8396358543417367,0.6176470588235294,0.8490566037735849,0.8888888888888888,0.9333333333333333,0.8182539682539682
PPMI,89,3,XGBoost,0.7169811320754716,0.7046070460704609,0.8354808590102708,0.7124183006535948,0.8679245283018868,0.9014084507042254,0.9333333333333333,0.846031746031746
PPMI,89,4,DCM-DNN,0.660377358490566,0.6599114064230344,0.8346249610955493,0.6612200435729848,0.7924528301886793,0.8450704225352113,0.8578431372549019,0.7696078431372549
PPMI,89,4,PlainDNN,0.6792452830188679,0.6684355071451845,0.8023498288204172,0.6840958605664488,0.8113207547169812,0.84375,0.9133986928104575,0.8455882352941176
PPMI,89,4,LR,0.6415094339622641,0.6444075304540421,0.8515094926859632,0.6427015250544662,0.7924528301886793,0.8450704225352113,0.9084967320261438,0.7696078431372549
PPMI,89,4,RF,0.6037735849056604,0.607545045045045,0.7646591970121381,0.6045751633986929,0.7169811320754716,0.782608695652174,0.8169934640522877,0.6985294117647058
PPMI,89,4,XGBoost,0.660377358490566,0.6681378242353851,0.7896514161220044,0.6612200435729848,0.7924528301886793,0.8450704225352113,0.857843137254902,0.7696078431372549
PPMI,89,5,DCM-DNN,0.6666666666666666,0.6470219435736677,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.8125,0.8672839506172839,0.8055555555555556
PPMI,89,5,PlainDNN,0.5740740740740741,0.569607843137255,0.7736625514403292,0.5740740740740741,0.7407407407407407,0.7941176470588235,0.8379629629629629,0.7361111111111112
PPMI,89,5,LR,0.6111111111111112,0.6004086778835703,0.7880658436213993,0.6111111111111112,0.7962962962962963,0.835820895522388,0.8734567901234568,0.8055555555555556
PPMI,89,5,RF,0.6111111111111112,0.6012691012691013,0.7842078189300411,0.6111111111111112,0.7962962962962963,0.8405797101449275,0.8132716049382716,0.7916666666666667
PPMI,89,5,XGBoost,0.6666666666666666,0.6617360394450178,0.7680041152263376,0.6666666666666666,0.8148148148148148,0.8571428571428571,0.8580246913580246,0.8055555555555556
PPMI,89,6,DCM-DNN,0.6481481481481481,0.6394265232974911,0.8173868312757202,0.6481481481481483,0.7407407407407407,0.7878787878787878,0.8688271604938271,0.75
PPMI,89,6,PlainDNN,0.6851851851851852,0.679979518689196,0.8405349794238682,0.6851851851851852,0.7407407407407407,0.7878787878787878,0.8827160493827161,0.75
PPMI,89,6,LR,0.6481481481481481,0.6414644309381151,0.816872427983539,0.648148148148148,0.7962962962962963,0.8450704225352113,0.8796296296296297,0.7777777777777778
PPMI,89,6,RF,0.5925925925925926,0.558119658119658,0.7939814814814815,0.5925925925925926,0.7407407407407407,0.7878787878787878,0.8503086419753085,0.75
PPMI,89,6,XGBoost,0.5740740740740741,0.5523180988297268,0.7597736625514404,0.5740740740740741,0.7222222222222222,0.7692307692307693,0.8132716049382716,0.7361111111111112
PPMI,89,7,DCM-DNN,0.6037735849056604,0.5948412698412698,0.80645813881108,0.6067538126361656,0.7547169811320755,0.8059701492537313,0.8936507936507936,0.7468253968253968
PPMI,89,7,PlainDNN,0.5849056603773585,0.5698312913932608,0.7816526610644258,0.5882352941176471,0.7735849056603774,0.8235294117647058,0.8746031746031746,0.7611111111111111
PPMI,89,7,LR,0.5849056603773585,0.5832538420773715,0.8042172424525366,0.5860566448801743,0.7924528301886793,0.8405797101449275,0.8936507936507937,0.7753968253968254
PPMI,89,7,RF,0.660377358490566,0.6612200435729848,0.8201914098972923,0.6623093681917211,0.8113207547169812,0.8611111111111112,0.8952380952380953,0.7761904761904761
