train_size_per_class,fold,model,eval_dataset,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
500,1,LR,PPMI,0.6212121212121212,0.6297038362154641,0.8238246641249093,0.6863425925925926,0.7727272727272727,0.8314606741573034,0.879375,0.8075
500,1,RF,NACC,0.9513888888888888,0.9492416092516415,0.9938990538757841,0.9480376956984343,0.96875,0.9754768392370572,0.9964684798650643,0.9713788741302973
500,1,RF,PPMI,0.6515151515151515,0.6598593202366787,0.7846875,0.6967592592592592,0.7575757575757576,0.8222222222222222,0.846875,0.77625
500,1,XGBoost,NACC,0.9479166666666666,0.9460797149443699,0.9963263229886333,0.9459203526371788,0.9722222222222222,0.978494623655914,0.9981024667931688,0.9696394686907022
500,1,XGBoost,PPMI,0.6666666666666666,0.6756410256410256,0.784589006899056,0.7256944444444445,0.8181818181818182,0.8695652173913043,0.838125,0.8375
500,2,DCM-DNN,NACC,0.9573770491803278,0.9579482380414764,0.9967258639124233,0.9593876913464543,0.9737704918032787,0.9802955665024631,0.9991619836340334,0.9806763285024155
500,2,DCM-DNN,PPMI,0.7291666666666666,0.7039430735082909,0.846577380952381,0.7333333333333334,0.8125,0.847457627118644,0.8875,0.7964285714285715
500,2,PlainDNN,NACC,0.9606557377049181,0.961163824715805,0.996403179883682,0.9620118712902218,0.980327868852459,0.9852941176470589,0.9993098688750863,0.9855072463768115
500,2,PlainDNN,PPMI,0.7083333333333334,0.6865258924082455,0.8453869047619048,0.7166666666666667,0.8333333333333334,0.8709677419354839,0.9035714285714287,0.8071428571428572
500,2,LR,NACC,0.9868852459016394,0.987063539543398,0.9996816183361293,0.9874726647922524,0.9967213114754099,0.9975786924939467,0.9998521147589471,0.9975845410628019
500,2,LR,PPMI,0.7291666666666666,0.6916860916860917,0.8605654761904762,0.7083333333333334,0.8541666666666666,0.8852459016393442,0.9035714285714286,0.8321428571428571
500,2,RF,NACC,0.921311475409836,0.9229827536628504,0.990735486422158,0.9222736517287328,0.9442622950819672,0.9588377723970944,0.9943064182194618,0.9374445430346052
500,2,RF,PPMI,0.625,0.599245078411745,0.824702380952381,0.625,0.7083333333333334,0.78125,0.8642857142857143,0.6714285714285715
500,2,XGBoost,NACC,0.9442622950819672,0.9454623330813807,0.9944874586103695,0.9441928223960625,0.9672131147540983,0.9758454106280193,0.9970915902592921,0.962412501232377
500,2,XGBoost,PPMI,0.625,0.6058097312999274,0.8250000000000001,0.625,0.75,0.8064516129032258,0.8553571428571428,0.7214285714285715
500,3,DCM-DNN,NACC,0.94,0.9389588927907457,0.9966071009726344,0.9405940594059405,0.9733333333333334,0.9796954314720813,0.9989054181800089,0.975023633016568
500,3,DCM-DNN,PPMI,0.6981132075471698,0.6976304035127564,0.8568904800522447,0.6995098039215687,0.8301886792452831,0.8695652173913043,0.8929738562091504,0.8284313725490196
500,3,PlainDNN,NACC,0.95,0.9490693665135855,0.9972383301298032,0.9504950495049505,0.9733333333333334,0.9794871794871794,0.999203940494552,0.9798994974874372
500,3,PlainDNN,PPMI,0.660377358490566,0.6630933454462866,0.8623893612864201,0.6602941176470588,0.8113207547169812,0.8611111111111112,0.8913398692810458,0.7834967320261439
500,3,LR,NACC,0.99,0.9899497487437187,0.9995172704635862,0.9900990099009901,1.0,1.0,1.0,1.0
500,3,LR,PPMI,0.6981132075471698,0.7074190177638453,0.8892549300637537,0.7073529411764706,0.8679245283018868,0.9090909090909091,0.9093137254901961,0.809640522875817
500,3,RF,NACC,0.95,0.9499965598209607,0.9944937525236476,0.9499898969488786,0.9766666666666667,0.9822784810126582,0.9980596049554704,0.9775361958306383
500,3,RF,PPMI,0.6037735849056604,0.6092836257309941,0.8047033999239881,0.6061274509803922,0.7735849056603774,0.8285714285714286,0.8308823529411765,0.755718954248366
500,3,XGBoost,NACC,0.96,0.9596513313572954,0.9956727802818227,0.9600929480703172,0.9866666666666667,0.9898477157360406,0.9984576347081944,0.9899497487437185
500,3,XGBoost,PPMI,0.6981132075471698,0.6973544973544974,0.8446334369128486,0.6965686274509805,0.8301886792452831,0.8732394366197183,0.8504901960784313,0.8129084967320261
500,4,DCM-DNN,NACC,0.9636963696369637,0.9630097809922371,0.9982463607612063,0.9633333333333334,0.9801980198019802,0.9849246231155779,0.9990687187530635,0.9851485148514851
